Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 05, 2022",4572.45,4593.45,4514.17,4525.12,4525.12,3906230000
"Apr 04, 2022",4547.97,4583.5,4539.21,4582.64,4582.64,3833500000
"Apr 01, 2022",4540.32,4548.7,4507.57,4545.86,4545.86,3828290000
"Mar 31, 2022",4599.02,4603.07,4530.41,4530.41,4530.41,3782040000
"Mar 30, 2022",4624.2,4627.77,4581.32,4602.45,4602.45,3665390000
"Mar 29, 2022",4602.86,4637.3,4589.66,4631.6,4631.6,4239660000
"Mar 28, 2022",4541.09,4575.65,4517.69,4575.52,4575.52,3696850000
"Mar 25, 2022",4522.91,4546.03,4501.07,4543.06,4543.06,3577520000
"Mar 24, 2022",4469.98,4520.58,4465.17,4520.16,4520.16,3573430000
"Mar 23, 2022",4493.1,4501.07,4455.81,4456.24,4456.24,4014360000
"Mar 22, 2022",4469.1,4522.0,4469.1,4511.61,4511.61,3962880000
"Mar 21, 2022",4462.4,4481.75,4424.3,4461.18,4461.18,3961050000
"Mar 18, 2022",4407.34,4465.4,4390.57,4463.12,4463.12,6681510000
"Mar 17, 2022",4345.11,4412.67,4335.65,4411.67,4411.67,4174170000
"Mar 16, 2022",4288.14,4358.9,4251.99,4357.86,4357.86,5002240000
"Mar 15, 2022",4188.82,4271.05,4187.9,4262.45,4262.45,4331170000
"Mar 14, 2022",4202.75,4247.57,4161.72,4173.11,4173.11,4757600000
"Mar 11, 2022",4279.5,4291.01,4200.49,4204.31,4204.31,3877430000
"Mar 10, 2022",4252.55,4268.28,4209.8,4259.52,4259.52,4008690000
"Mar 09, 2022",4223.1,4299.4,4223.1,4277.88,4277.88,4220180000
"Mar 08, 2022",4202.66,4276.94,4157.87,4170.7,4170.7,6237000000
"Mar 07, 2022",4327.01,4327.01,4199.85,4201.09,4201.09,5506330000
"Mar 04, 2022",4342.12,4342.12,4284.98,4328.87,4328.87,4558250000
"Mar 03, 2022",4401.31,4416.78,4345.56,4363.49,4363.49,4062080000
"Mar 02, 2022",4322.56,4401.48,4322.56,4386.54,4386.54,4409090000
"Mar 01, 2022",4363.14,4378.45,4279.54,4306.26,4306.26,4679400000
"Feb 28, 2022",4354.17,4388.84,4315.12,4373.94,4373.94,4594010000
"Feb 25, 2022",4298.38,4385.34,4286.83,4384.65,4384.65,3941780000
"Feb 24, 2022",4155.77,4294.73,4114.65,4288.7,4288.7,5070560000
"Feb 23, 2022",4324.93,4341.51,4221.51,4225.5,4225.5,3814340000
"Feb 22, 2022",4332.74,4362.12,4267.11,4304.76,4304.76,4007780000
"Feb 18, 2022",4384.57,4394.6,4327.22,4348.87,4348.87,3871340000
"Feb 17, 2022",4456.06,4456.06,4373.81,4380.26,4380.26,3596510000
"Feb 16, 2022",4455.75,4489.55,4429.68,4475.01,4475.01,3478750000
"Feb 15, 2022",4429.28,4472.77,4429.28,4471.07,4471.07,3363200000
"Feb 14, 2022",4412.61,4426.22,4364.84,4401.67,4401.67,3466170000
"Feb 11, 2022",4506.27,4526.33,4401.41,4418.64,4418.64,4164960000
"Feb 10, 2022",4553.24,4588.92,4484.31,4504.08,4504.08,4490500000
"Feb 09, 2022",4547.0,4590.03,4547.0,4587.18,4587.18,3662810000
"Feb 08, 2022",4480.02,4531.32,4465.4,4521.54,4521.54,3509330000
"Feb 07, 2022",4505.75,4521.86,4471.47,4483.87,4483.87,3291600000
"Feb 04, 2022",4482.79,4539.66,4451.5,4500.53,4500.53,3673700000
"Feb 03, 2022",4535.41,4542.88,4470.39,4477.44,4477.44,3596830000
"Feb 02, 2022",4566.39,4595.31,4544.32,4589.38,4589.38,3777170000
"Feb 01, 2022",4519.57,4550.49,4483.53,4546.54,4546.54,3796450000
"Jan 31, 2022",4431.79,4516.89,4414.02,4515.55,4515.55,4001950000
"Jan 28, 2022",4336.19,4432.72,4292.46,4431.85,4431.85,3936030000
"Jan 27, 2022",4380.58,4428.74,4309.5,4326.51,4326.51,4074330000
"Jan 26, 2022",4408.43,4453.23,4304.8,4349.93,4349.93,4046270000
"Jan 25, 2022",4366.64,4411.01,4287.11,4356.45,4356.45,3989420000
